ID_Agente,ID_Caso,Agente,Atributo,Género,Calidad,Labor,Relación_crímenes,Conteo_mínimo,Tipo_Institución,Doble_Atributo,RCDA,Proceso,
IDA7322,3389,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3389A,,null,,,,
IDA7323,3389,Persona,Víctima,Hombre,Sin especificar,Político del Estado,3389A,,null,,,,
IDA7324,3390,Persona,Perpetrador,Hombre,Sin especificar,Político del Estado,3390A,,null,,,,
IDA7325,3390,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3390A,,null,,,,
IDA7326,3391,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3391A,,null,,,,
IDA7327,3391,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3391A,1,null,,,,
IDA7328,3392,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3392A,,null,,,,
IDA7329,3392,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3392A,,null,,,,
IDA7330,3393,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3393A,,null,,,,
IDA7331,3393,Persona,Víctima,Hombre,Sin especificar,Político del Estado,3393A,,null,,,,
IDA7332,3394,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3394A,,null,,,,
IDA7333,3394,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3394A,,null,,,,
IDA7334,3394,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3394A,,null,,,,
IDA7335,3394,Institución,Víctima,null,null,null,3394A,,La autoridad,,,,
IDA7336,3395,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3395A,,null,,,,
IDA7337,3395,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3395A,1,null,,,,
IDA7338,3396,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3396A,,null,,,,
IDA7339,3396,Persona,Víctima,Hombre,Sin especificar,Sin especificar,3396A,,null,,,,
IDA7340,3396,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3396A,,null,,,,
IDA7341,3397,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,"3397A, 3397B, 3397C",,null,,,,
IDA7342,3397,Persona,Víctima,Mujer,Sin especificar,Sin especificar,3397A,,null,,,,
IDA7343,3397,Persona,Víctima,Hombre,Sin especificar,Político del Estado,"3397B, 3397C",,null,,,,
IDA7344,3398,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3398A,,null,,,,
IDA7345,3398,Persona,Víctima,Indeterminado,Indeterminado,Indeterminado,3398A,1,null,,,,
IDA7346,3399,Persona,Perpetrador,Hombre,Sin especificar,Sin especificar,3399A,,null,,,,
IDA7347,3399,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3399A,,null,,,,
IDA7348,3400,Persona,Perpetrador,Mujer,Sin especificar,Sin especificar,3400A,,null,,,,
