"ID_Agente","ID_Caso","Agente","Atributo","Género","Calidad","Labor","ID_Documento","Código","Nombre_Codigo","Sub_Código","Nombre_Sub_Codigo","Año","Lugar","Source"
"ACJ2127","1000","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1000A","1","Homicidio","1.1","Homicidio","1809","Vélez","AGNSC.194835843-8791000A"
"ACJ2128","1001","Persona","Perpetrador","Hombre","Sin especificar","Político del Estado","1001A","21","Fuga (e intento) (incluye carcel, exilio o juicio) ","21.2","Ayudar a alguien a fugarse","1799","San Gil","AGNSC.194836880-9441001A"
"ACJ2129","1001","Persona","Perpetrador","Hombre","Sin especificar","Político del Estado","1001A","21","Fuga (e intento) (incluye carcel, exilio o juicio) ","21.2","Ayudar a alguien a fugarse","1799","San Gil","AGNSC.194836880-9441001A"
"ACJ213","103","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","103A","20","Robo","20.1","Robo","1808","null","AGNSC.1956238-299103A"
"ACJ2130","1001","Persona","Perpetrador","Hombre","Sin especificar","Político del Estado","1001A","21","Fuga (e intento) (incluye carcel, exilio o juicio) ","21.2","Ayudar a alguien a fugarse","1799","San Gil","AGNSC.194836880-9441001A"
"ACJ2131","1001","Persona","Perpetrador","Hombre","Sin especificar","Político del Estado","1001A","21","Fuga (e intento) (incluye carcel, exilio o juicio) ","21.2","Ayudar a alguien a fugarse","1799","San Gil","AGNSC.194836880-9441001A"
"ACJ2132","1001","Persona","Perpetrador","Hombre","Sin especificar","Político del Estado","1001A","21","Fuga (e intento) (incluye carcel, exilio o juicio) ","21.2","Ayudar a alguien a fugarse","1799","San Gil","AGNSC.194836880-9441001A"
"ACJ2133","1001","Persona","Perpetrador","Hombre","Sin especificar","Político del Estado","1001A","21","Fuga (e intento) (incluye carcel, exilio o juicio) ","21.2","Ayudar a alguien a fugarse","1799","San Gil","AGNSC.194836880-9441001A"
"ACJ2134","1003","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1003A","16","Injuria","16.1","Injuria","1776","Pacho","AGNSC.1948401008-10101003A"
"ACJ2135","1003","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1003A","16","Injuria","16.1","Injuria","1776","Pacho","AGNSC.1948401008-10101003A"
"ACJ2136","1004","Persona","Víctima","Hombre","Sin especificar","Político del Estado","1004A","25","Sublevación","25.1","Sublevación","1802","Moniquirá","AGNSC.194911-1501004A"
"ACJ2137","1004","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1004A","25","Sublevación","25.1","Sublevación","1802","Moniquirá","AGNSC.194911-1501004A"
"ACJ2138","1004","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1004A","25","Sublevación","25.1","Sublevación","1802","Moniquirá","AGNSC.194911-1501004A"
"ACJ2139","1004","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1004A","25","Sublevación","25.1","Sublevación","1802","Moniquirá","AGNSC.194911-1501004A"
"ACJ214","104","Persona","Víctima","Hombre","Sin especificar","Fuerza armada","104A","16","Injuria","16.1","Injuria","1798","Zipaquirá","AGNSC.1957300-318104A"
"ACJ2140","1004","Persona","Perpetrador","Sin información","Sin especificar","Sin especificar","1004A","25","Sublevación","25.1","Sublevación","1802","Moniquirá","AGNSC.194911-1501004A"
"ACJ2141","1004","Persona","Perpetrador","Sin información","Sin especificar","Sin especificar","1004A","25","Sublevación","25.1","Sublevación","1802","Moniquirá","AGNSC.194911-1501004A"
"ACJ2142","1005","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1005A","13","Bestialidad","13.1","Bestialidad","1806","Tasco","AGNSC.19493207-2571005A"
"ACJ2143","1006","Persona","Víctima","Mujer","Sin especificar","Sin especificar","1006A","9","Estupro","9.3","Incesto","1807","Santafé (Bogotá)","AGNSC.19495260-3491006A"
"ACJ2144","1006","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1006A","9","Estupro","9.3","Incesto","1807","Santafé (Bogotá)","AGNSC.19495260-3491006A"
"ACJ2145","1007","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1007A","10","Concubinato","10.2","Adulterio","1807","Santafé (Bogotá)","AGNSC.19495260-3491007A"
"ACJ2146","1007","Persona","Perpetrador","Mujer","Sin especificar","Sin especificar","1007A","10","Concubinato","10.2","Adulterio","1807","Santafé (Bogotá)","AGNSC.19495260-3491007A"
"ACJ2147","1007","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1007A","10","Concubinato","10.2","Adulterio","1807","Santafé (Bogotá)","AGNSC.19495260-3491007A"
"ACJ2148","1008","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1008A","16","Injuria","16.1","Injuria","1760","Monguí","AGNSC.19496350-5681008A"
"ACJ2148","1008","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1008B","4","Violencia","4.1","Heridas","1760","Monguí","AGNSC.19496350-5681008B"
"ACJ2149","1008","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1008A","16","Injuria","16.1","Injuria","1760","Monguí","AGNSC.19496350-5681008A"
"ACJ2149","1008","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1008B","4","Violencia","4.1","Heridas","1760","Monguí","AGNSC.19496350-5681008B"
"ACJ215","104","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","104A","16","Injuria","16.1","Injuria","1798","Zipaquirá","AGNSC.1957300-318104A"
"ACJ2150","1008","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1008A","16","Injuria","16.1","Injuria","1760","Monguí","AGNSC.19496350-5681008A"
"ACJ2150","1008","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1008B","4","Violencia","4.1","Heridas","1760","Monguí","AGNSC.19496350-5681008B"
"ACJ2151","1009","Persona","Víctima","Mujer","Sin especificar","Sin especificar","1009A","1","Homicidio","1.1","Homicidio","1656","Cúcuta","AGNSC.19497569-5971009A"
"ACJ2152","1009","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1009A","1","Homicidio","1.1","Homicidio","1656","Cúcuta","AGNSC.19497569-5971009A"
"ACJ2153","1010","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1010A","4","Violencia","4.1","Heridas","1800","Villa del Rosario","AGNSC.19498598-6021010A"
"ACJ2154","1010","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1010A","4","Violencia","4.1","Heridas","1800","Villa del Rosario","AGNSC.19498598-6021010A"
"ACJ2155","1010","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1010A","4","Violencia","4.1","Heridas","1800","Villa del Rosario","AGNSC.19498598-6021010A"
"ACJ2156","1011","Persona","Víctima","Sin información","Sin especificar","Sin especificar","1011A","20","Robo","20.1","Robo","1808","San Miguel","AGNSC.19499603-7131011A"
"ACJ2157","1011","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1011A","20","Robo","20.1","Robo","1808","San Miguel","AGNSC.19499603-7131011A"
"ACJ2158","1012","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1012A","22","Vagancia","22.1","Vagancia","1801","Ocaña","AGNSC.194910714-7371012A"
"ACJ2158","1012","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1012B","22","Vagancia","22.7","Pernicioso","1801","Ocaña","AGNSC.194910714-7371012B"
"ACJ2159","1013","Persona","Víctima","Mujer","Sin especificar","Sin especificar","1013A","9","Estupro","9.1","Estrupo","1803","Girón","AGNSC.194913812-8491013A"
"ACJ2159","1013","Persona","Víctima","Mujer","Sin especificar","Sin especificar","1013B","9","Estupro","9.3","Incesto","1803","Girón","AGNSC.194913812-8491013B"
"ACJ216","105","Persona","Víctima","Hombre","Sin especificar","Sin especificar","105A","4","Violencia","4.1","Heridas","1807","San Juanito (puente)","AGNSC.1958319-327105A"
"ACJ2160","1013","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1013A","9","Estupro","9.1","Estrupo","1803","Girón","AGNSC.194913812-8491013A"
"ACJ2160","1013","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1013B","9","Estupro","9.3","Incesto","1803","Girón","AGNSC.194913812-8491013B"
"ACJ2161","1014","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1014A","1","Homicidio","1.1","Homicidio","1772","Oiba","AGNSC.194915938-9841014A"
"ACJ2162","1014","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1014A","1","Homicidio","1.1","Homicidio","1772","Oiba","AGNSC.194915938-9841014A"
"ACJ2163","1016","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1016A","15","Juicio de residencia","15.5","Omisión de deberes del cargo ","1575","Pamplona","AGNSC.195037-101016A"
"ACJ2164","1016","Persona","Perpetrador","Hombre","Sin especificar","Político del Estado","1016A","15","Juicio de residencia","15.5","Omisión de deberes del cargo ","1575","Pamplona","AGNSC.195037-101016A"
"ACJ2165","1017","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1017A","10","Concubinato","10.1","Concubinato","1809","Ocaña","AGNSC.1950411-731017A"
"ACJ2166","1017","Persona","Perpetrador","Mujer","Sin especificar","Sin especificar","1017A","10","Concubinato","10.1","Concubinato","1809","Ocaña","AGNSC.1950411-731017A"
"ACJ2167","1017","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1017A","10","Concubinato","10.1","Concubinato","1809","Ocaña","AGNSC.1950411-731017A"
"ACJ2168","1019","Persona","Víctima","Mujer","Sin especificar","Sin especificar","1019A","9","Estupro","9.2","Desfloramiento","1631","Santafé (Bogotá)","AGNSC.1950678-831019A"
"ACJ2169","1019","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1019A","9","Estupro","9.2","Desfloramiento","1631","Santafé (Bogotá)","AGNSC.1950678-831019A"
"ACJ217","105","Persona","Perpetrador","Mujer","Sin especificar","Sin especificar","105A","4","Violencia","4.1","Heridas","1807","San Juanito (puente)","AGNSC.1958319-327105A"
"ACJ2170","1020","Institución","Víctima","null","null","null","1020A","25","Sublevación","25.3","Militar con un enemigo","1567","Ocaña","AGNSC.1950888-1261020A"
"ACJ2171","1020","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1020A","25","Sublevación","25.3","Militar con un enemigo","1567","Ocaña","AGNSC.1950888-1261020A"
"ACJ2172","1021","Persona","Víctima","Hombre","Sin especificar","Político del Estado","1021A","19","Desacato",,"Delitos","1775","Puente Real","AGNSC.19509127-1291021A"
"ACJ2173","1021","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1021A","19","Desacato",,"Delitos","1775","Puente Real","AGNSC.19509127-1291021A"
"ACJ2174","1022","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1022A","16","Injuria","16.1","Injuria","1798","El Socorro","AGNSC.195010130-2241022A"
"ACJ2175","1022","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1022A","16","Injuria","16.1","Injuria","1798","El Socorro","AGNSC.195010130-2241022A"
"ACJ2176","1023","Persona","Víctima","Hombre","Sin especificar","Político del Estado","1023A","19","Desacato",,"Delitos","1596","Ocaña","AGNSC.195012276-3011023A"
"ACJ2177","1023","Persona","Perpetrador","Hombre","Sin especificar","Fuerza armada","1023A","19","Desacato",,"Delitos","1596","Ocaña","AGNSC.195012276-3011023A"
"ACJ2178","1025","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1025A","18","Financiero","18.4","Negocios y juegos ilegales","1752","El Socorro","AGNSC.195014321-3361025A"
"ACJ2179","1026","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1026A","1","Homicidio","1.1","Homicidio","1750","Carrizal","AGNSC.195016378-3881026A"
"ACJ218","105","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","105A","4","Violencia","4.1","Heridas","1807","San Juanito (puente)","AGNSC.1958319-327105A"
"ACJ2180","1026","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1026A","1","Homicidio","1.1","Homicidio","1750","Carrizal","AGNSC.195016378-3881026A"
"ACJ2181","1027","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1027A","1","Homicidio","1.1","Homicidio","1698","San Gil","AGNSC.195017389-4181027A"
"ACJ2182","1027","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1027A","1","Homicidio","1.1","Homicidio","1698","San Gil","AGNSC.195017389-4181027A"
"ACJ2183","1027","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1027A","1","Homicidio","1.1","Homicidio","1698","San Gil","AGNSC.195017389-4181027A"
"ACJ2184","1027","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1027A","1","Homicidio","1.1","Homicidio","1698","San Gil","AGNSC.195017389-4181027A"
"ACJ2185","1028","Persona","Víctima","Sin información","Sin especificar","Sin especificar","1028A","20","Robo","20.1","Robo","1776","El Socorro","AGNSC.195018419-4221028A"
"ACJ2186","1028","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1028A","20","Robo","20.1","Robo","1776","El Socorro","AGNSC.195018419-4221028A"
"ACJ2187","1029","Persona","Víctima","Hombre","Sin especificar","Político del Estado","1029A","25","Sublevación","25.1","Sublevación","1724","Charalá","AGNSC.195019423-4241029A"
"ACJ2188","1029","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1029A","25","Sublevación","25.1","Sublevación","1724","Charalá","AGNSC.195019423-4241029A"
"ACJ2189","1029","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1029A","25","Sublevación","25.1","Sublevación","1724","Charalá","AGNSC.195019423-4241029A"
"ACJ219","105","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","105A","4","Violencia","4.1","Heridas","1807","San Juanito (puente)","AGNSC.1958319-327105A"
"ACJ2190","1029","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1029A","25","Sublevación","25.1","Sublevación","1724","Charalá","AGNSC.195019423-4241029A"
"ACJ2191","1030","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1030A","10","Concubinato","10.2","Adulterio","1750","San Gil","AGNSC.195020425-4261030A"
"ACJ2192","1030","Persona","Perpetrador","Mujer","Sin especificar","Sin especificar","1030A","10","Concubinato","10.2","Adulterio","1750","San Gil","AGNSC.195020425-4261030A"
"ACJ2193","1030","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1030A","10","Concubinato","10.2","Adulterio","1750","San Gil","AGNSC.195020425-4261030A"
"ACJ2194","1032","Institución","Víctima","null","null","null","1032A","19","Desacato",,"Delitos","1802","Puente Real","AGNSC.195022429-4301032A"
"ACJ2195","1032","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1032A","19","Desacato",,"Delitos","1802","Puente Real","AGNSC.195022429-4301032A"
"ACJ2195","1032","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1032C","10","Concubinato","10.1","Concubinato","1802","Puente Real","AGNSC.195022429-4301032C"
"ACJ2195","1032","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1032D","10","Concubinato","10.1","Concubinato","1802","Puente Real","AGNSC.195022429-4301032D"
"ACJ2195","1032","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1032E","1","Homicidio","1.1","Homicidio","1802","Puente Real","AGNSC.195022429-4301032E"
"ACJ2196","1032","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1032A","19","Desacato",,"Delitos","1802","Puente Real","AGNSC.195022429-4301032A"
"ACJ2197","1032","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1032A","19","Desacato",,"Delitos","1802","Puente Real","AGNSC.195022429-4301032A"
"ACJ2198","1032","Persona","Víctima","Sin información","Sin especificar","Sin especificar","1032E","1","Homicidio","1.1","Homicidio","1802","Puente Real","AGNSC.195022429-4301032E"
"ACJ2199","1032","Persona","Víctima","Sin información","Sin especificar","Sin especificar","1032E","1","Homicidio","1.1","Homicidio","1802","Puente Real","AGNSC.195022429-4301032E"
"ACJ22","12","Persona","Perpetrador","Hombre","Sin especificar","Político del Estado","12A","15","Juicio de residencia","15.1","Juicio de residencia ","1583","Antioquia (Departamento)","AGNSC.19114846-114712A"
"ACJ220","105","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","105A","4","Violencia","4.1","Heridas","1807","San Juanito (puente)","AGNSC.1958319-327105A"
"ACJ2200","1032","Persona","Perpetrador","Mujer","Sin especificar","Sin especificar","1032C","10","Concubinato","10.1","Concubinato","1802","Puente Real","AGNSC.195022429-4301032C"
"ACJ2200","1032","Persona","Perpetrador","Mujer","Sin especificar","Sin especificar","1032D","10","Concubinato","10.1","Concubinato","1802","Puente Real","AGNSC.195022429-4301032D"
"ACJ2201","1032","Persona","Perpetrador","Mujer","Sin especificar","Sin especificar","1032C","10","Concubinato","10.1","Concubinato","1802","Puente Real","AGNSC.195022429-4301032C"
"ACJ2201","1032","Persona","Perpetrador","Mujer","Sin especificar","Sin especificar","1032D","10","Concubinato","10.1","Concubinato","1802","Puente Real","AGNSC.195022429-4301032D"
"ACJ2202","1032","Persona","Perpetrador","Sin información","Sin especificar","Sin especificar","1032A","19","Desacato",,"Delitos","1802","Puente Real","AGNSC.195022429-4301032A"
"ACJ2202","1032","Persona","Perpetrador","Sin información","Sin especificar","Sin especificar","1032E","1","Homicidio","1.1","Homicidio","1802","Puente Real","AGNSC.195022429-4301032E"
"ACJ2203","1032","Persona","Perpetrador","Sin información","Sin especificar","Sin especificar","1032A","19","Desacato",,"Delitos","1802","Puente Real","AGNSC.195022429-4301032A"
"ACJ2203","1032","Persona","Perpetrador","Sin información","Sin especificar","Sin especificar","1032E","1","Homicidio","1.1","Homicidio","1802","Puente Real","AGNSC.195022429-4301032E"
"ACJ2204","1032","Persona","Perpetrador","Sin información","Sin especificar","Sin especificar","1032A","19","Desacato",,"Delitos","1802","Puente Real","AGNSC.195022429-4301032A"
"ACJ2204","1032","Persona","Perpetrador","Sin información","Sin especificar","Sin especificar","1032E","1","Homicidio","1.1","Homicidio","1802","Puente Real","AGNSC.195022429-4301032E"
"ACJ2205","1032","Persona","Perpetrador","Sin información","Sin especificar","Sin especificar","1032A","19","Desacato",,"Delitos","1802","Puente Real","AGNSC.195022429-4301032A"
"ACJ2205","1032","Persona","Perpetrador","Sin información","Sin especificar","Sin especificar","1032E","1","Homicidio","1.1","Homicidio","1802","Puente Real","AGNSC.195022429-4301032E"
"ACJ2206","1033","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1033A","16","Injuria","16.1","Injuria","1762","San Gil","AGNSC.195023431-4951033A"
"ACJ2207","1033","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1033A","16","Injuria","16.1","Injuria","1762","San Gil","AGNSC.195023431-4951033A"
"ACJ2208","1036","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1036A","20","Robo","20.1","Robo","1803","San José del Valle","AGNSC.195026638-6571036A"
"ACJ2209","1036","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1036A","20","Robo","20.1","Robo","1803","San José del Valle","AGNSC.195026638-6571036A"
"ACJ221","106","Persona","Víctima","Mujer","Sin especificar","Sin especificar","106A","9","Estupro","9.4","Violación","1648","Tunja","AGNSC.1959328-336106A"
"ACJ2210","1037","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1037A","20","Robo","20.1","Robo","1777","El Socorro","AGNSC.195027658-6651037A"
"ACJ2211","1037","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1037A","20","Robo","20.1","Robo","1777","El Socorro","AGNSC.195027658-6651037A"
"ACJ2212","1038","Persona","Víctima","Mujer","Sin especificar","Sin especificar","1038A","16","Injuria","16.1","Injuria","1637","Santafé (Bogotá)","AGNSC.195028666-6761038A"
"ACJ2213","1038","Persona","Víctima","Mujer","Sin especificar","Sin especificar","1038A","16","Injuria","16.1","Injuria","1637","Santafé (Bogotá)","AGNSC.195028666-6761038A"
"ACJ2214","1038","Persona","Perpetrador","Mujer","Sin especificar","Sin especificar","1038A","16","Injuria","16.1","Injuria","1637","Santafé (Bogotá)","AGNSC.195028666-6761038A"
"ACJ2215","1038","Persona","Perpetrador","Mujer","Sin especificar","Sin especificar","1038A","16","Injuria","16.1","Injuria","1637","Santafé (Bogotá)","AGNSC.195028666-6761038A"
"ACJ2216","1039","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1039A","16","Injuria","16.1","Injuria","1772","Arboledas","AGNSC.195029677-7841039A"
"ACJ2217","1039","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1039A","16","Injuria","16.1","Injuria","1772","Arboledas","AGNSC.195029677-7841039A"
"ACJ2218","1039","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1039A","16","Injuria","16.1","Injuria","1772","Arboledas","AGNSC.195029677-7841039A"
"ACJ2219","1039","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1039A","16","Injuria","16.1","Injuria","1772","Arboledas","AGNSC.195029677-7841039A"
"ACJ222","106","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","106A","9","Estupro","9.4","Violación","1648","Tunja","AGNSC.1959328-336106A"
"ACJ2220","1041","Persona","Víctima","Sin información","Sin especificar","Sin especificar","1041A","20","Robo","20.1","Robo","1809","Barichara","AGNSC.195031786-8221041A"
"ACJ2221","1041","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1041A","20","Robo","20.1","Robo","1809","Barichara","AGNSC.195031786-8221041A"
"ACJ2222","1042","Persona","Víctima","Sin información","Sin especificar","Sin especificar","1042A","20","Robo","20.1","Robo","1809","San Gil","AGNSC.195032823-8431042A"
"ACJ2223","1042","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1042A","20","Robo","20.1","Robo","1809","San Gil","AGNSC.195032823-8431042A"
"ACJ2224","1043","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1043A","4","Violencia","4.2","Riña","1798","Simacota","AGNSC.195033844-8841043A"
"ACJ2224","1043","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1043B","1","Homicidio","1.1","Homicidio","1798","Simacota","AGNSC.195033844-8841043B"
"ACJ2225","1043","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1043B","1","Homicidio","1.1","Homicidio","1798","Simacota","AGNSC.195033844-8841043B"
"ACJ2226","1043","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1043A","4","Violencia","4.2","Riña","1798","Simacota","AGNSC.195033844-8841043A"
"ACJ2227","1044","Persona","Víctima","Hombre","Sin especificar","Sin especificar","1044A","1","Homicidio","1.1","Homicidio","1808","Cúcuta","AGNSC.195034885-9311044A"
"ACJ2228","1044","Persona","Perpetrador","Mujer","Sin especificar","Sin especificar","1044A","1","Homicidio","1.1","Homicidio","1808","Cúcuta","AGNSC.195034885-9311044A"
"ACJ2229","1045","Persona","Víctima","Sin información","Sin especificar","Sin especificar","1045A","18","Financiero","18.3","Evación fiscal","1800","Charalá","AGNSC.195035932-9701045A"
"ACJ223","108","Persona","Víctima","Hombre","Sin especificar","Sin especificar","108A","16","Injuria","16.1","Injuria","1802","Santafé (Bogotá)","AGNSC.19512427-453108A"
"ACJ2230","1045","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1045A","18","Financiero","18.3","Evación fiscal","1800","Charalá","AGNSC.195035932-9701045A"
"ACJ2231","1046","Persona","Víctima","Sin información","Sin especificar","Sin especificar","1046A","20","Robo","20.1","Robo","1791","Matanza","AGNSC.195036971-9981046A"
"ACJ2232","1046","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1046A","20","Robo","20.1","Robo","1791","Matanza","AGNSC.195036971-9981046A"
"ACJ2233","1047","Persona","Víctima","Sin información","Sin especificar","Sin especificar","1047A","18","Financiero","18.1",NULL,"1796","Santafé (Bogotá)","AGNSC.195037999-10011047A"
"ACJ2234","1047","Persona","Perpetrador","Mujer","Sin especificar","Sin especificar","1047A","18","Financiero","18.1",NULL,"1796","Santafé (Bogotá)","AGNSC.195037999-10011047A"
"ACJ2235","1049","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1049A","20","Robo","20.1","Robo","1629","Pamplona","AGNSC.19513724-9301049A"
"ACJ2236","1049","Persona","Víctima","Hombre","Indígenas","Sin especificar","1049A","20","Robo","20.1","Robo","1629","Pamplona","AGNSC.19513724-9301049A"
"ACJ2237","1049","Persona","Víctima","Hombre","Indígenas","Sin especificar","1049A","20","Robo","20.1","Robo","1629","Pamplona","AGNSC.19513724-9301049A"
"ACJ2238","1049","Persona","Víctima","Hombre","Indígenas","Sin especificar","1049A","20","Robo","20.1","Robo","1629","Pamplona","AGNSC.19513724-9301049A"
"ACJ2239","1049","Persona","Víctima","Hombre","Indígenas","Sin especificar","1049A","20","Robo","20.1","Robo","1629","Pamplona","AGNSC.19513724-9301049A"
"ACJ224","108","Persona","Perpetrador","Hombre","Sin especificar","Político del Estado","108A","16","Injuria","16.1","Injuria","1802","Santafé (Bogotá)","AGNSC.19512427-453108A"
"ACJ2240","1050","Persona","Víctima","Mujer","Sin especificar","Sin especificar","1050A","9","Estupro","9.1","Estrupo","1806","Ocaña","AGNSC.19514931-10181050A"
"ACJ2241","1050","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1050A","9","Estupro","9.1","Estrupo","1806","Ocaña","AGNSC.19514931-10181050A"
"ACJ2242","1051","Persona","Víctima","Sin información","Sin especificar","Sin especificar","1051A","1","Homicidio","1.1","Homicidio","1777","Servitá","AGNSC.1952284-1641051A"
"ACJ2243","1051","Persona","Perpetrador","Hombre","Sin especificar","Sin especificar","1051A","1","Homicidio","1.1","Homicidio","1777","Servitá","AGNSC.1952284-1641051A"
