ID_Caso,ID_Documento,Archivo,Código_Referencia,Sección,Fondo,Legajo,Documento,Folios,Número_Folios,Source
2586,2586A,AGN,SC.19,Colonia,Criminales (Juicios),120,26,782-787,4-30,AGNSC.1912026782-7872586A
2587,2587A,AGN,SC.19,Colonia,Criminales (Juicios),120,27,788-798,4-30,AGNSC.1912027788-7982587A
2587,2587B,AGN,SC.19,Colonia,Criminales (Juicios),120,27,788-798,4-30,AGNSC.1912027788-7982587B
2588,2588A,AGN,SC.19,Colonia,Criminales (Juicios),120,28,799-801,1-3,AGNSC.1912028799-8012588A
2588,2588B,AGN,SC.19,Colonia,Criminales (Juicios),120,28,799-801,1-3,AGNSC.1912028799-8012588B
2589,2589A,AGN,SC.19,Colonia,Criminales (Juicios),120,29,802-809,4-30,AGNSC.1912029802-8092589A
2590,2590A,AGN,SC.19,Colonia,Criminales (Juicios),120,30,810-812,1-3,AGNSC.1912030810-8122590A
2590,2590B,AGN,SC.19,Colonia,Criminales (Juicios),120,30,810-812,1-3,AGNSC.1912030810-8122590B
2591,2591A,AGN,SC.19,Colonia,Criminales (Juicios),120,31,813-814,1-3,AGNSC.1912031813-8142591A
2592,2592A,AGN,SC.19,Colonia,Criminales (Juicios),120,33,818,1-3,AGNSC.19120338182592A
2592,2592B,AGN,SC.19,Colonia,Criminales (Juicios),120,33,818,1-3,AGNSC.19120338182592B
2593,2593A,AGN,SC.19,Colonia,Criminales (Juicios),120,34,821-834,4-30,AGNSC.1912034821-8342593A
2593,2593B,AGN,SC.19,Colonia,Criminales (Juicios),120,34,821-834,4-30,AGNSC.1912034821-8342593B
2594,2594A,AGN,SC.19,Colonia,Criminales (Juicios),120,35,835-847,4-30,AGNSC.1912035835-8472594A
2594,2594B,AGN,SC.19,Colonia,Criminales (Juicios),120,35,835-847,4-30,AGNSC.1912035835-8472594B
2595,2595A,AGN,SC.19,Colonia,Criminales (Juicios),120,36,847-874,4-30,AGNSC.1912036847-8742595A
2595,2595B,AGN,SC.19,Colonia,Criminales (Juicios),120,36,847-874,4-30,AGNSC.1912036847-8742595B
2596,2596A,AGN,SC.19,Colonia,Criminales (Juicios),120,37,875-883,30+,AGNSC.1912037875-8832596A
2597,2597A,AGN,SC.19,Colonia,Criminales (Juicios),120,38,884-948,30+,AGNSC.1912038884-9482597A
2598,2598A,AGN,SC.19,Colonia,Criminales (Juicios),120,39,949-1036,30+,AGNSC.1912039949-10362598A
2599,2599A,AGN,SC.19,Colonia,Criminales (Juicios),121,1,1-454,30+,AGNSC.1912111-4542599A
2599,2599B,AGN,SC.19,Colonia,Criminales (Juicios),127,26,771-785,4-30,AGNSC.1912726771-7852599B
2600,2600A,AGN,SC.19,Colonia,Criminales (Juicios),121,2,455-647,30+,AGNSC.191212455-6472600A
2600,2600B,AGN,SC.19,Colonia,Criminales (Juicios),121,2,455-647,30+,AGNSC.191212455-6472600B
2601,2601A,AGN,SC.19,Colonia,Criminales (Juicios),121,3,648-746,30+,AGNSC.191213648-7462601A
2602,2602A,AGN,SC.19,Colonia,Criminales (Juicios),121,4,747-848,30+,AGNSC.191214747-8482602A
2603,2603A,AGN,SC.19,Colonia,Criminales (Juicios),121,6,912-1016,30+,AGNSC.191216912-10162603A
2604,2604A,AGN,SC.19,Colonia,Criminales (Juicios),122,1,1-53,4-30,AGNSC.1912211-532604A
2604,2604B,AGN,SC.19,Colonia,Criminales (Juicios),122,1,1-53,4-30,AGNSC.1912211-532604B
2605,2605A,AGN,SC.19,Colonia,Criminales (Juicios),122,2,54-86,4-30,AGNSC.19122254-862605A
2606,2606A,AGN,SC.19,Colonia,Criminales (Juicios),122,3,81-179,30+,AGNSC.19122381-1792606A
2607,2607A,AGN,SC.19,Colonia,Criminales (Juicios),122,4,180-302,30+,AGNSC.191224180-3022607A
2608,2608A,AGN,SC.19,Colonia,Criminales (Juicios),122,5,303-392,30+,AGNSC.191225303-3922608A
2608,2608B,AGN,SC.19,Colonia,Criminales (Juicios),122,5,303-392,30+,AGNSC.191225303-3922608B
2609,2609A,AGN,SC.19,Colonia,Criminales (Juicios),122,6,393-496,30+,AGNSC.191226393-4962609A
2609,2609B,AGN,SC.19,Colonia,Criminales (Juicios),122,6,393-496,30+,AGNSC.191226393-4962609B
2609,2609C,AGN,SC.19,Colonia,Criminales (Juicios),122,6,393-496,30+,AGNSC.191226393-4962609C
2610,2610A,AGN,SC.19,Colonia,Criminales (Juicios),122,7,497-509,4-30,AGNSC.191227497-5092610A
2610,2610B,AGN,SC.19,Colonia,Criminales (Juicios),122,7,497-509,4-30,AGNSC.191227497-5092610B
2611,2611A,AGN,SC.19,Colonia,Criminales (Juicios),122,8,510-512,1-3,AGNSC.191228510-5122611A
2612,2612A,AGN,SC.19,Colonia,Criminales (Juicios),122,9,513-515,1-3,AGNSC.191229513-5152612A
2612,2612B,AGN,SC.19,Colonia,Criminales (Juicios),122,9,513-515,1-3,AGNSC.191229513-5152612B
2613,2613A,AGN,SC.19,Colonia,Criminales (Juicios),122,10,516-517,1-3,AGNSC.1912210516-5172613A
2613,2613B,AGN,SC.19,Colonia,Criminales (Juicios),122,10,516-517,1-3,AGNSC.1912210516-5172613B
2614,2614A,AGN,SC.19,Colonia,Criminales (Juicios),122,11,518-519,1-3,AGNSC.1912211518-5192614A
2614,2614B,AGN,SC.19,Colonia,Criminales (Juicios),122,11,518-519,1-3,AGNSC.1912211518-5192614B
2615,2615A,AGN,SC.19,Colonia,Criminales (Juicios),122,12,520-522,1-3,AGNSC.1912212520-5222615A
2615,2615B,AGN,SC.19,Colonia,Criminales (Juicios),122,12,520-522,1-3,AGNSC.1912212520-5222615B
2616,2616A,AGN,SC.19,Colonia,Criminales (Juicios),122,13,523-624,1-3,AGNSC.1912213523-6242616A
