ID_Caso,TipoProceso,MujeresMencionadas,FechaInicial,Fecha_Final
365,Proceso judicial criminal identificable,,1558,1558
366,Proceso judicial criminal identificable,,1808,1808
367,Proceso judicial criminal identificable,1,1618,1618
368,Proceso judicial criminal identificable,,1594,1594
369,Proceso judicial criminal identificable,1,1789,1789
370,Proceso judicial criminal identificable,1,1803,1803
371,Proceso judicial criminal identificable,,1570,1570
372,Proceso judicial criminal identificable,,1736,1736
373,Proceso judicial criminal identificable,1,1626,1626
374,Proceso judicial criminal identificable,,1733,1733
375,Proceso judicial criminal identificable,,1552,1552
376,Proceso judicial criminal identificable,1,1750,1750
377,Proceso judicial criminal identificable,,1810,1810
378,No es un proceso penal con delito identificable,,1787,1787
379,Proceso judicial criminal identificable,,1799,1799
380,Proceso judicial criminal identificable,,1795,1795
381,Proceso judicial criminal identificable,,1749,1749
382,Proceso judicial criminal identificable,,1603,1603
383,Proceso judicial criminal identificable,1,1612,1612
384,Proceso judicial criminal identificable,1,1770,1770
385,Proceso judicial criminal identificable,,1804,1804
386,Proceso judicial criminal identificable,,1635,1635
387,Proceso judicial criminal identificable,,1606,1606
388,Proceso judicial criminal identificable,1,1792,1792
389,Proceso judicial criminal identificable,1,1637,1637
390,Proceso judicial criminal identificable,,1799,1799
391,Proceso judicial criminal identificable,1,1790,1792
392,Proceso judicial criminal identificable,,1583,1583
393,Proceso judicial criminal identificable,1,1801,1801
394,Proceso judicial criminal identificable,,1746,1746
395,Proceso judicial criminal identificable,,1772,1772
396,Proceso judicial criminal identificable,,1770,1770
397,Proceso judicial criminal identificable,,1806,1806
398,Proceso judicial criminal identificable,,1794,1794
399,Proceso judicial criminal identificable,,1781,1781
400,Proceso judicial criminal identificable,,1625,1625
401,Proceso judicial criminal identificable,,1697,1697
402,Proceso judicial criminal identificable,,1810,1810
403,Proceso judicial criminal identificable,1,1809,1809
404,Proceso judicial criminal identificable,,1581,1581
405,Proceso judicial criminal identificable,,1616,1616
406,Proceso judicial criminal identificable,1,1806,1807
407,Proceso judicial criminal identificable,1,1804,1804
408,Proceso judicial criminal identificable,1,1756,1756
409,Proceso judicial criminal identificable,1,1633,1633
410,Proceso judicial criminal identificable,,1595,1595
411,Proceso judicial criminal identificable,1,1628,1628
412,Proceso judicial criminal identificable,1,1696,1696
413,Proceso judicial criminal identificable,,1804,1804
414,Proceso judicial criminal identificable,,1765,1765
415,No es un proceso penal con delito identificable,,1801,1801
416,Proceso judicial criminal identificable,,1634,1634
417,No es un proceso penal con delito identificable,,1802,1802
418,Proceso judicial criminal identificable,1,1810,1810
419,Proceso judicial criminal identificable,,1766,1766
420,Proceso judicial criminal identificable,1,1628,1628
421,Proceso judicial criminal identificable,1,1637,1637
422,No es un proceso penal con delito identificable,,1719,1721
423,Proceso judicial criminal identificable,1,1760,1760
424,Proceso judicial criminal identificable,,1567,1567
425,No es un proceso penal con delito identificable,,1760,1760
426,Proceso judicial criminal identificable,1,1719,1719
427,Proceso judicial criminal identificable,,1620,1620
428,Proceso judicial criminal identificable,1,1761,1761
429,Proceso judicial criminal identificable,1,1624,1624
430,Proceso judicial criminal identificable,,1620,1620
431,Proceso judicial criminal identificable,,1628,1628
432,Proceso judicial criminal identificable,1,1638,1638
433,Proceso judicial criminal identificable,,1648,1648
434,Proceso judicial criminal identificable,,1627,1627
435,Proceso judicial criminal identificable,1,1792,1792
436,Proceso judicial criminal identificable,1,1806,1806
437,Proceso judicial criminal identificable,,1565,1565
438,Proceso judicial criminal identificable,,1569,1569
439,No es un proceso penal con delito identificable,,1763,1763
440,Proceso judicial criminal identificable,1,1625,1625
441,Proceso judicial criminal identificable,,1638,1638
442,Proceso judicial criminal identificable,,1801,1801
443,Proceso judicial criminal identificable,1,1569,1569
444,Proceso judicial criminal identificable,,1790,1790
445,Proceso judicial criminal identificable,1,1634,1634
446,Proceso judicial criminal identificable,1,1633,1633
447,Proceso judicial criminal identificable,,1556,1556
448,Proceso judicial criminal identificable,1,1633,1633
449,Proceso judicial criminal identificable,,1807,1807
450,Proceso judicial criminal identificable,,1806,1806
451,Proceso judicial criminal identificable,,1801,1801
452,Proceso judicial criminal identificable,1,1809,1809
453,Proceso judicial criminal identificable,,1649,1649
454,Proceso judicial criminal identificable,,1654,1654
455,Proceso judicial criminal identificable,1,1623,1623
456,Proceso judicial criminal identificable,,1572,1572
457,Proceso judicial criminal identificable,1,1632,1632
458,Proceso judicial criminal identificable,,1784,1784
459,Proceso judicial criminal identificable,,1633,1633
460,Proceso judicial criminal identificable,,1780,1786
461,Proceso judicial criminal identificable,1,1629,1629
462,Proceso judicial criminal identificable,,1792,1792
463,Proceso judicial criminal identificable,,1808,1808
464,Proceso judicial criminal identificable,1,1615,1615
465,Proceso judicial criminal identificable,,1612,1612
466,Proceso judicial criminal identificable,,1762,1762
467,Proceso judicial criminal identificable,1,1799,1799
468,Proceso judicial criminal identificable,1,1746,1746
469,Proceso judicial criminal identificable,,1621,1621
470,Proceso judicial criminal identificable,1,1573,1573
471,Proceso judicial criminal identificable,,1580,1580
472,Proceso judicial criminal identificable,1,1606,1606
473,Proceso judicial criminal identificable,1,1579,1579
474,Proceso judicial criminal identificable,,1704,1704
475,Proceso judicial criminal identificable,1,1806,1806
476,Proceso judicial criminal identificable,,1803,1803
477,Proceso judicial criminal identificable,,1806,1806
478,Proceso judicial criminal identificable,,1592,1592
479,No es un proceso penal con delito identificable,,1601,1601
480,Proceso judicial criminal identificable,1,1745,1745
481,Proceso judicial criminal identificable,,1613,1613
482,Proceso judicial criminal identificable,,1602,1602
483,No es un proceso penal con delito identificable,,1807,1807
484,No es un proceso penal con delito identificable,,1679,1679
485,No es un proceso penal con delito identificable,,1750,1750
486,Proceso judicial criminal identificable,,1806,1806
487,Proceso judicial criminal identificable,,1597,1597
488,Proceso judicial criminal identificable,,1568,1568
489,Proceso judicial criminal identificable,,1779,1779
490,Proceso judicial criminal identificable,,1796,1802
491,Proceso judicial criminal identificable,,1633,1633
492,Proceso judicial criminal identificable,1,1634,1634
493,Proceso judicial criminal identificable,,1768,1768
494,Proceso judicial criminal identificable,,1565,1565
495,Proceso judicial criminal identificable,,1625,1625
496,No es un proceso penal con delito identificable,,1671,1671
497,Proceso judicial criminal identificable,1,1736,1736
498,Proceso judicial criminal identificable,,1674,1674
499,Proceso judicial criminal identificable,,1581,1581
500,Proceso judicial criminal identificable,,1572,1572
501,No es un proceso penal con delito identificable,,1640,1640
502,Proceso judicial criminal identificable,,1623,1623
503,Proceso judicial criminal identificable,,1651,1652
504,Proceso judicial criminal identificable,1,1652,1652
505,Proceso judicial criminal identificable,,1720,1720
506,Proceso judicial criminal identificable,,1610,1610
507,Proceso judicial criminal identificable,,1613,1613
508,Proceso judicial criminal identificable,,1669,1669
509,Proceso judicial criminal identificable,,1652,1652
510,Proceso judicial criminal identificable,,1560,1560
511,Proceso judicial criminal identificable,1,1592,1592
512,No es un proceso penal con delito identificable,,1550,1550
513,Proceso judicial criminal identificable,,1621,1628
514,Proceso judicial criminal identificable,1,1580,1580
515,Proceso judicial criminal identificable,,1651,1651
516,Proceso judicial criminal identificable,1,1799,1799
517,Proceso judicial criminal identificable,1,1799,1799
518,No es un proceso penal con delito identificable,,1808,1808
519,No es un proceso penal con delito identificable,,1740,1740
520,Proceso judicial criminal identificable,,1602,1602
521,Proceso judicial criminal identificable,,1626,1626
522,Proceso judicial criminal identificable,,1662,1662
523,Proceso judicial criminal identificable,,1778,1778
524,Proceso judicial criminal identificable,1,1785,1785
525,Proceso judicial criminal identificable,1,1785,1785
526,Proceso judicial criminal identificable,1,1766,1766
527,Proceso judicial criminal identificable,,1652,1652
528,Proceso judicial criminal identificable,1,1785,1785
529,Proceso judicial criminal identificable,1,1792,1792
530,Proceso judicial criminal identificable,1,1757,1757
531,Proceso judicial criminal identificable,1,1804,1804
532,Proceso judicial criminal identificable,,1803,1803
533,Proceso judicial criminal identificable,1,1809,1809
534,Proceso judicial criminal identificable,1,1609,1609
535,Proceso judicial criminal identificable,1,1737,1737
536,Proceso judicial criminal identificable,,1758,1758
537,Proceso judicial criminal identificable,1,1802,1803
538,Proceso judicial criminal identificable,,1603,1603
539,Proceso judicial criminal identificable,,1741,1741
540,Proceso judicial criminal identificable,1,1777,1777
541,Proceso judicial criminal identificable,1,1629,1629
542,Proceso judicial criminal identificable,,1771,1771
543,Proceso judicial criminal identificable,,1637,1637
544,No es un proceso penal con delito identificable,,1637,1637
545,No es un proceso penal con delito identificable,,1637,1637
546,No es un proceso penal con delito identificable,,1637,1637
547,Proceso judicial criminal identificable,,1763,1763
548,No es un proceso penal con delito identificable,,1803,1803
549,No es un proceso penal con delito identificable,,1763,1763
550,No es un proceso penal con delito identificable,,1763,1763
551,Proceso judicial criminal identificable,,1744,1744
552,Proceso judicial criminal identificable,,1801,1801
553,No es un proceso penal con delito identificable,,1804,1804
554,Proceso judicial criminal identificable,,1626,1626
555,Proceso judicial criminal identificable,,1806,1806
556,Proceso judicial criminal identificable,,1763,1763
557,Proceso judicial criminal identificable,,1637,1637
558,Proceso judicial criminal identificable,,1797,1797
559,Proceso judicial criminal identificable,1,1807,1807
560,Proceso judicial criminal identificable,,1772,1772
561,Proceso judicial criminal identificable,,1772,1772
