"ID_Caso","ID_Documento","Descripción","Código","Sub_Código","Año","Lugar","Especificaciones","Source","crimen","subcrimen"
"11","11A","Causa seguida a Pedro Machuca, Hernando de Miranda y Juan Cabrera, por haber despojado a Pedro de Castillo, de indios e indias de su encomienda.","18","18.7","1586","Mérida","Perfectos","AGNSC.19113806-84511A","Financiero","Embargo"
"1200","1200A","Miguel Cano, se querella de Antonio de la Pedrosa, corregidor del partido de Tenza, por ultrajes de obra que le infirió.","4","4.1","1759","Tenza","Perfectos","AGNSC.19602306-3091200A","Violencia","Heridas"
"1201","1201A","Sumario instruido por Cayetano Antonio Bohórquez, Corregidor de la capilla de Tenza, a Miguel Campos y María Rosalia Contreras, mujer de José Feliciano Montañez, por adulterio del cual se culpa también al dicho Campos con otra casada llamada Floreana Ramírez.","10","10.2","1799","Tenza","Contrademanda","AGNSC.19603310-3261201A","Concubinato","Adulterio"
"1201","1201B","Sumario instruido por Cayetano Antonio Bohórquez, Corregidor de la capilla de Tenza, a Miguel Campos y María Rosalia Contreras, mujer de José Feliciano Montañez, por adulterio del cual se culpa también al dicho Campos con otra casada llamada Floreana Ramírez ","10","10.2","1799","Tenza","Contrademanda","AGNSC.19603310-3261201B","Concubinato","Adulterio"
"1202","1202A","Causa seguida por Dámaso José Villarral, alcalde de Simacota, a Salvador Murcia, por el homicidio de Pedro Suárez. Sentencia de muerte para el reo; su ejecución.","1","1.1","1804","Simacota","Perfectos","AGNSC.19604327-3961202A","Homicidio","Homicidio"
"1203","1203A","Sumario instruido a Juan Neponuceno Ojeda, Miguel Villamizar, Antonio Maldonado y otros, por robo de ganados del hato de Ignacio Espinel.","20","20.1","1803","null","Perfectos","AGNSC.19605397-4331203A","Robo","Robo"
"1204","1204A","Causa seguida a Rosa Flórez, sus hijos y un sobrino, por haber herido a Bartolomé Lázaro de la Cadena, Alcalde de San Gil, en el momento en que capturaba a Pedro del Basto y otros reos en el río Sube.","4","4.1","1758","San Gil","Perfectos","AGNSC.19606434-6491204A","Violencia","Heridas"
"1204","1204B","Causa seguida a Rosa Flórez, sus hijos y un sobrino, por haber herido a Bartolomé Lázaro de la Cadena, Alcalde de San Gil, en el momento en que capturaba a Pedro del Basto y otros reos en el río Sube.","33",,"1758","San Gil","Ambiguos","AGNSC.19606434-6491204B","Ambiguos","Delitos"
"1204","1204C","Causa seguida a Francisco Sarmiento y Rosa Flórez y Sotomayor, su consorte, en virtud de denuncio de Bartolomé Lázaro de la Cadena y Ulloa, alcalde de San Gil, de haberlo herido con puñal.","2",,"1757","San Gil","Sin codificación","AGNSC.19469634-6941204C","Sin codificar","Delitos"
"1205","1205A","Demanda de Félix José de Vargas contra Francisco Gutiérrez, por haber tratado éste al primero de ladrón al salir de la iglesia de Monguí.","16","16.1","1791","Monguí","Perfectos","AGNSC.19607650-6791205A","Injuria","Injuria"
"1206","1206A","Petición de los alcaldes de San Gil, para que a las visitas de cárcel asistieran los fiscales y defensores de oficio, a fin de regularizar la administración de justicia.","32",,"1800","San Gil","Códigos señalados","AGNSC.19608680-7081206A","No-Casos","Delitos"
"1207","1207A","José Javier de Amaya, Fiscal se San Gil, objeta lo proveído sobre su asistencia a las visitas de cárcel, y solicita se le releve del cargo.","32",,"1802","San Gil","Códigos señalados","AGNSC.19609709-7151207A","No-Casos","Delitos"
"1208","1208A","Sumario instruido por Maximiliano Martínez, Alcalde de Curití, a Juan Vicente Grande, quien cambió su apellido por el de García, marido de Sabina Gómez, por vivir amancebado con Petronila Domínguez, sumariada también.","10","10.1","1804","Curití","Perfectos","AGNSC.196010716-7611208A","Concubinato","Concubinato"
"1209","1209A","Alfonso de Arapiles Cornejo y Torres, maestro de campo de Salazar de las Palmas, exhorta a los habitantes del lugar, a fin de que denuncien a quienes le fijaron unos pasquines en su casa para que desocuparan la población. Información judicial al respecto.","16","16.1","1781","Salazar de las Palmas","Perfectos","AGNSC.196011762-7971209A","Injuria","Injuria"
"120","120A","Sumario instruido a Juan Gaona por graves maltratos a Lugarda Espinosa, su consorte","5","5.1","1799","Santafé (Bogotá)","Perfectos","AGNSC.19524897-942120A","Violencia conyugal","Violencia conyugal"
"1210","1210A","Sumario instruido por Miguel Ignacio Franco y Chacón, alcalde de Veléz, a Hilario Cepeda, por uxoriciodio: muerte de Rosalía Useda, su mujer.","1","1.2","1809","Vélez","Perfectos","AGNSC.196012798-9181210A","Homicidio","Uxoricidio"
"1211","1211A","Nota del juez de la causa seguida a Juan Tomás Baustista, Manuel Salvador Ramírez y Miguel Santos, por el homicidio de Pablo Méndez, ocurrido en el Socorro.","1","1.1","1809","El Socorro","Decisión metodológica","AGNSC.196013919-9211211A","Homicidio","Homicidio"
"1211","1211B","Solicitud de indulto, de Juan Tomás Bautista, cómplice en el homicido de Pablo Méndez.","35","35.1","1808","Facatativá","Códigos señalados","AGNSC.197810406-4081211B","Petición de indulto","Indulto"
"1212","1212A","Suamrio instruido por Casimiro Gómez de Castro, alcalde del Socorro, a Francisco Teodoro de Heredia, por robo de ganado mayor.","20","20.1","1776","El Socorro","Decisión metodológica","AGNSC.196015925-9301212A","Robo","Robo"
"1213","1213A","Sumario instruido a Salvador Ramírez, Leonardo Figueroa, Pedro Bautista Losada y Manuel Girón, por robo de ganado mayor y sementeras.","20","20.1","1768","El Socorro","Decisión metodológica","AGNSC.196016931-9591213A","Robo","Robo"
"1214","1214A","Causa seguida a Miguel Bautista, por robo de alhajas en la iglesia de Confines.","20","20.1","1804","Confines","Decisión metodológica","AGNSC.196018972-9941214A","Robo","Robo"
"1215","1215A","Sumario instruido por Félix José Moreno y Santos, alcalde de Pinchote, a Miguel Bautista, por el robo de dinero depositado en la arquilla de San Antonio de Padua, de la iglesia local.","20","20.1","1801","Pinchote","Decisión metodológica","AGNSC.196019995-10161215A","Robo","Robo"
"1216","1216A","Sumario instruido por Sebastián José García, Alcalde del Rosario de Cúcuta, a José Custodio Suárez, por sus actividades de tinterillo o pendolista.","24","24.2","1807","Villa del Rosario","Decisión metodológica","AGNSC.1960201017-10241216A","Mala praxis de abogados","Malapraxis de abogados "
"1217","1217A","Sumario instruido por José Antonio Alvarez, Alcalde de Capitanejo, a Pedro Antonio Quintero, por ultrajes al cura párroco del lugar y resistencia a la Real justicia.","16","16.1","1801","Capitanejo","Decisión metodológica","AGNSC.196111-3711217A","Injuria","Injuria"
