ID_Caso,ID_Crímen,Descripción
39,39A,"Demanda de Luis García de Salazar, contra Juan y Francisco Cedeño, quienes **trataron de ultimarlo**."
40,40A,"Juicio seguido a Francisco Mesías y José Antonio Fernández, por **escalamiento **y robo en la casa de Luis Padilla."
40,40B,"Juicio seguido a Francisco Mesías y José Antonio Fernández, por escalamiento y **robo **en la casa de Luis Padilla."
41,41A,"Causa seguida a José Vega, por **sevicia con** Teresa Serrano, **su mujer**, y concubinato con María Orejuela."
41,41B,"Causa seguida a José Vega, por sevicia con Teresa Serrano, su mujer, y **concubinato **con María Orejuela."
41,41C,"Causa seguida a José Vega, por sevicia con Teresa Serrano, **su mujer,** y **concubinato **con María Orejuela."
42,42A,"Denuncio de Juan Sánchez de Retuerta, del **robo **de un caballo y otros objetos que le sustrajeron de su casa."
43,43A,"José Patricio García, se querella de Antonio Pérez de Hoyos, Alcalde de Sasaima, quien le causó perjuicios en sus intereses y lo **ultrajó de palabra**"
43,43B,"José Patricio García, se querella de Antonio Pérez de Hoyos, Alcalde de Sasaima, quien le causó **perjuicios en sus intereses** y lo ultrajó de palabra"
44,44A,"Causa seguida a Juan Francisco Lozano, como cómplice del** rapto **de Josefa Vásquez, mujer de Cristobal Neira; verificado por Francisco Triana, a quien se encausó por adulterio"
45,45A,"Causa seguida a Juan Francisco Lozano, como cómplice del rapto de Josefa Vásquez, mujer de Cristobal Neira; verificado por Francisco Triana, a quien se encausó por **adulterio**"
46,46A,"Causa seguida a Diego Martín de Guevara, por **robo **de ganado en Fucha."
47,47A,"Sumario instruido por el alcalde de Nocaima, a José Miguel Bohórques, por graves **heridas **causadas a Josefa Ayala, su mujer"
48,48A,"Juicio seguido a Bartolomé Delgado de Vargas, por haber **injuriado **a doña Antonia de Cháves."
49,49A,Causa seguida a Diego de Lara por haber **herido **a Victorino Calderón
50,50A,"Proceso de Mariana Toro, cómplice de José Gutiérrez en el **homicidio **de Jerónimo de la Paz, su **marido**"
51,51A,"Acusación de Francisco de Estrada contra Diego Mejía de León, Alcalde de San Juan de los Llanos y contra Pedro de Alvarado, por **varios delitos**."
52,52A,"Causa seguida a Tadeo Sánchez, por **cuatrero**."
53,53A,"Juicio seguido a Pedro Miguel Ortiz de Vargas, por **haber ofrecido en Zipaquirá un negro en venta**"
54,54A,"Sumario instruído por Felipe Muñoz Mercado, Alcalde de Tocaima, **a Pedro **y Manuel de Aroca**, por vagancia** ** **y concubinato del segundo con María de La Fuente"
55,55A,"Sumario instruído por Felipe Muñoz Mercado, Alcalde de Tocaima,** a** Pedro y **Manuel de Aroca, por vagancia **y concubinato del segundo con María de La Fuente "
55,55B,"Sumario instruído por Felipe Muñoz Mercado, Alcalde de Tocaima,** a** Pedro y **Manuel de Aroca, por **vagancia y **concubinato del segundo con María de La Fuente **"
56,56A,"Juicio seguido a Gaspar Madroñero y Magdalena Vásquez, por **amancebamiento**"
57,57A,"juicio seguido a Diego Segura, Alcaide de la cárcel de Divorcio, por **dormir con la presa Juana Ceballos** y por maltratamientos a Petronila López"
57,57B,"juicio seguido a Diego Segura, Alcaide de la cárcel de Divorcio, por dormir con la presa Juana Ceballos y por **maltratamientos a Petronila López**"
58,58A,"Demanda de Antonio Prieto, por **injurias **a Tadeo Zabaleta, su mujer, y a él, contra Francisco Javier Gómez Parra"
59,59A,"**Petición **de Nicolás María de Castro, de su **excarcelación **con fianza"
59,59B,"Petición de Nicolás María de Castro, de su **excarcelación **con fianza"
60,60A,"Sobre rehacer el sumario instruído a Francisco Palacios, por **hurtos**, extraviado en la alcaldía de Tocaima."
61,61A,"Causa seguida a Amador de Tapia, por **herir **a un cacique,** y paliza** propinada a Juan Resendi."
